tile_id,max_f1_timestep,max_ndvi_timestep,delta_t
T10SEJ_2018_6_8,14,11,3
T10SEJ_2018_5_8,7,4,3
T10SFG_2018_2_5,13,14,1
T11SKV_2018_5_7,21,9,12
T11SLV_2018_5_0,7,8,1
T10SGG_2018_9_4,0,5,5
T10SGG_2018_7_0,13,6,7
T10TEK_2018_8_6,0,5,5
T10TEK_2018_9_5,16,5,11
T10SFJ_2018_7_3,7,4,3
T10SGG_2018_9_1,0,13,13
T10SGF_2018_6_7,5,15,10
T11SKV_2018_0_4,19,12,7
T10SGF_2018_6_4,0,20,20
T10SFG_2018_3_6,20,14,6
T10TEK_2018_9_8,6,7,1
T10SFJ_2018_8_3,19,4,15
T10SFG_2018_5_9,3,14,11
T11SKA_2018_7_5,0,12,12
T11SKV_2018_4_2,2,2,0
T10SFG_2018_1_5,2,7,5
T10SFJ_2018_1_0,6,12,6
T10SFJ_2018_3_0,6,12,6
T10SGF_2018_4_7,0,18,18
T10SFJ_2018_9_2,6,4,2
T11SKA_2018_3_2,0,20,20
T10SGF_2018_0_0,2,12,10
T10SEJ_2018_3_6,6,12,6
T10SEH_2018_2_1,19,1,18
T10SFG_2018_3_9,23,7,16
T11SKV_2018_7_7,21,9,12
T10SEH_2018_2_8,6,12,6
T11SKV_2018_1_5,16,12,4
T10SEH_2018_4_5,15,22,7
T11SKA_2018_5_4,0,12,12
T10SFH_2018_5_1,11,16,5
T10SGF_2018_5_3,0,9,9
T10SFJ_2018_8_0,14,12,2
T11SKV_2018_6_6,23,15,8
T10SFH_2018_4_2,0,7,7
T11SKA_2018_4_5,0,9,9
T10SGG_2018_2_0,0,5,5
T11SLV_2018_8_2,21,22,1
T11SKA_2018_8_7,1,13,12
T10SGG_2018_8_1,0,5,5
T10SFG_2018_2_8,1,14,13
T10TEK_2018_8_8,14,5,9
T10SFJ_2018_7_1,6,12,6
T10SFH_2018_4_4,23,7,16
T11SKA_2018_3_8,4,5,1
T11SKA_2018_5_1,0,6,6
T10SEJ_2018_6_7,14,12,2
T10SGF_2018_8_5,8,11,3
T10SFJ_2018_6_2,7,4,3
T10SFH_2018_7_3,0,14,14
T10SFH_2018_7_2,15,14,1
T10SFG_2018_6_6,6,5,1
