timestep,tile_id,accuracy,precision,recall,f1,jaccard
Timestep_6,T10SEJ_2018_7_7,0.8005331767313314,0.8005331767313314,1.0,0.8892179128680213,0.8005331767313314
Timestep_6,T10SEJ_2018_5_7,0.6566020019840677,0.6566062594217796,0.9998698711218752,0.7926716285014037,0.65655015421985
Timestep_6,T11SKV_2018_1_4,0.525411329093135,0.511444412788773,0.9636979371357376,0.6682445603834257,0.5017772336457061
Timestep_6,T11SKV_2018_4_3,0.5259587725322743,0.8591183311527838,0.5168171862640267,0.6453894284345675,0.4764390903052928
Timestep_6,T11SLV_2018_2_0,0.48407354321983,0.9478148272866128,0.4617123975450693,0.6209427510526101,0.4502661158748592
Timestep_6,T10SEJ_2018_9_9,0.8001648965995468,0.8001648965995468,1.0,0.888990667589433,0.8001648965995468
Timestep_6,T10SFH_2018_6_3,0.7868213775004065,0.7868213775004065,1.0,0.8806939377466985,0.7868213775004065
Timestep_6,T10SFJ_2018_5_1,0.7335825030441173,0.7335825030441173,1.0,0.8463196897245665,0.7335825030441173
Timestep_6,T10SGF_2018_7_5,0.8492108519878833,0.93985706051147,0.8778905496837668,0.9078175945316898,0.8311959522387948
Timestep_6,T10SFG_2018_1_2,0.4520207298582287,0.4520207298582287,1.0,0.6226091963609401,0.4520207298582287
Timestep_6,T11SKA_2018_6_4,0.5608176482493422,0.9407172534879572,0.4842409892133649,0.639364494689365,0.4699013749045135
Timestep_6,T11SKA_2018_6_5,0.5938716195367633,0.885624372913342,0.4449774771112159,0.5923378193407867,0.4207954347849231
Timestep_6,T11SLV_2018_4_0,0.4197754818331724,0.8723230449042926,0.4000741770629084,0.5485612799178078,0.3779431210755792
Timestep_6,T10SFG_2018_3_4,0.5067949343233765,0.5072805185728879,0.991477514100662,0.6711653469628377,0.5050781490600306
Timestep_6,T11SKA_2018_5_2,0.6850176343144183,0.8478160299163422,0.7527999275099674,0.7974877957471499,0.6631847834281634
Timestep_6,T10SEJ_2018_8_8,0.7986370317284947,0.7986370317284947,1.0,0.8880469129016013,0.7986370317284947
Timestep_6,T10SFH_2018_9_7,0.4820430257364773,0.5842728807427952,0.4343759061054171,0.4982955170854025,0.3318199570918779
Timestep_6,T10SGF_2018_1_2,0.657488694463522,0.7617680777047914,0.7373539740557586,0.7493622267043555,0.5991840664860599
Timestep_6,T10SGF_2018_1_6,0.6005496000345055,0.8880514214938546,0.541724708768968,0.6729436692892531,0.5070950295899171
Timestep_6,T10SGG_2018_5_0,0.4307392808915697,0.8384642513390594,0.2621682191031821,0.3994406588185055,0.2495631674134918
Timestep_6,T11SKV_2018_9_9,0.7573647731759351,0.8906201032226958,0.8083461133753832,0.8474910117702017,0.7353443837968756
Timestep_6,T11SKA_2018_1_2,0.4672462931443492,0.8937364006120205,0.4419915814929732,0.5914736689454094,0.4199237571246266
Timestep_6,T10SGF_2018_3_5,0.7695470486162952,0.907572488355432,0.8198449624172881,0.8614810881687942,0.7566682285348946
Timestep_6,T10SGG_2018_8_4,0.6660462307689755,0.8857103889358022,0.6533774309903777,0.7520080024440962,0.6025743786152844
